id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44152583,1+1 Cozy Apartment,194711530,Diren,,Sisli,41.07235,29.00058,Entire home/apt,160,21,2,2021-01-05,1.82,1,242,2,
44153421,denize sıfır mükemmel ötesi villa,265967601,Erdem,,Beylikduzu,40.99019,28.59975,Entire home/apt,8899,30,0,,,1,358,0,
44158772,Like a home,355063597,Bahadır,,Kagithane,41.08346,28.99774,Private room,117,1,0,,,1,89,0,
44159800,Seven Days Apartments - 705 - Sultanahmet,272967285,Ali,,Fatih,41.00503,28.9709,Entire home/apt,350,1,6,2020-08-03,0.44,15,365,1,
44159883,Seven Days Apartments 706 - Sultanahmet,272967285,Ali,,Fatih,41.00509,28.97018,Entire home/apt,310,1,2,2020-08-09,0.23,15,365,1,
44160317,Bright room with great location-center of Besiktas,42386920,Sevgi,,Besiktas,41.04699,29.00143,Private room,414,1,0,,,1,362,0,
44161369,Sessiz ve Rahatli.,342959400,Omar,,Basaksehir,41.09461,28.77383,Entire home/apt,600,1,0,,,2,365,0,
44162328,"Triple room, 35 m2, Rich breakfast included",354630771,Vital Hotel,,Sisli,41.05623,28.99812,Private room,1035,1,0,,,3,365,0,
44162329,"Family Suite, 60m2, Rich breakfast included",354630771,Vital Hotel,,Sisli,41.05775,28.99626,Private room,1035,1,0,,,3,272,0,
44162633,"Twin room, 30 m2, Rich breakfast included",354630771,Vital Hotel,,Sisli,41.0577,28.99764,Private room,828,1,0,,,3,365,0,
44162939,Estuary view room,59326876,Ayşe,,Beyoglu,41.05696,28.9537,Private room,350,1,0,,,1,358,0,
44163089,Brightly lit spacious apartment at the city center,5996247,Avsar,,Beyoglu,41.03654,28.99304,Entire home/apt,343,13,5,2021-08-05,0.49,1,250,5,
44164328,Family Suite in Fatih Center,272967285,Ali,,Fatih,41.02083,28.94547,Entire home/apt,293,1,1,2020-10-31,0.09,15,365,1,
44164605,Room Eco with Private Bathroom in Fatih Center,272967285,Ali,,Fatih,41.02112,28.94396,Private room,190,1,10,2020-12-06,0.69,15,365,7,
44168280,Albatros Çağlayan,355141621,Talha,,Kagithane,41.0713,28.98098,Entire home/apt,516,1,0,,,2,365,0,
44169070,Şişli Bomonti New beautiful house,293074757,İbrahim,,Sisli,41.05887,28.98362,Entire home/apt,805,4,4,2020-11-19,0.28,2,362,3,
44170978,Nar Home,355620754,Rabia,,Eyup,41.06548,28.94259,Shared room,516,365,0,,,1,365,0,
44172979,Pretty Suit (2) 250mt From Taksim Square,14875223,Murat,,Beyoglu,41.03718,28.98181,Entire home/apt,341,1,28,2021-08-22,1.92,24,360,23,
44173712,Renovated 1BR near Taksim - 7 min walk,9326429,Mehmet,,Beyoglu,41.03346,28.98732,Entire home/apt,347,6,1,2021-07-28,0.46,2,28,1,
44174140,Sweat single room,328005341,Javohir,,Fatih,41.00428,28.96976,Private room,259,1,1,2021-01-04,0.11,5,364,1,
44175458,SEA VIEW DELUXE ROOM WITH KITCHEN / MOLA GALATA,185171232,Hakan,,Beyoglu,41.02657,28.9694,Private room,613,2,9,2020-12-25,0.62,21,100,5,
44176159,Ümraniye'de Çok avantajlı ..,355709195,Cabir,,Umraniye,41.01715,29.12695,Private room,200,1,0,,,1,365,0,
44176294,Gumussuyunda Mobilyalı 2+1 Daire,414003,Fasedis,,Beyoglu,41.03579,28.99,Entire home/apt,619,3,1,2021-08-11,0.58,10,365,1,
44176368,Standard Triple Room 100 Meters TO Taksim Square,352665715,Birhat,,Beyoglu,41.03789,28.98208,Private room,377,1,7,2021-03-25,0.60,6,362,6,
44176398,101 MOLA DELUXE ROOM / HOTEL MOLA GALATA,185171232,Hakan,,Beyoglu,41.02657,28.9694,Private room,463,1,11,2021-07-29,0.94,21,61,11,
44176565,103 MOLA STANDARD ROOM / Hotel MOLA GALATA,185171232,Hakan,,Beyoglu,41.02657,28.9694,Private room,411,1,18,2021-08-31,1.27,21,62,15,
44177148,MAXWELL SUPERİOR ROOM 4,308220849,Abdullah,,Beyoglu,41.03471,28.97792,Entire home/apt,459,1,9,2020-09-11,0.66,22,365,5,
44177156,102 MOLA COMFORT ROOM / HOTEL MOLA GALATA,185171232,Hakan,,Beyoglu,41.02657,28.9694,Private room,406,1,7,2020-09-28,0.53,21,62,4,
